,Bounding Box,Latitude,Longitude,Turbidity,Hue Angle,Rhow 865
0,mys_1,-3.369007,17.759413,282.7632141113281,27.299038,0.08366035
1,mys_1,-3.3689167,17.759413,285.4169616699219,27.28971,0.08328849
2,mys_1,-3.3688266,17.759323,286.9488830566406,27.285757,0.082916625
3,mys_1,-3.3687365,17.759232,286.9488830566406,27.277876,0.08250922
4,mys_1,-3.3686464,17.759142,286.9477844238281,27.270226,0.08204902
5,mys_1,-3.3685563,17.759052,285.03717041015625,27.277876,0.081991464
6,mys_1,-3.3684661,17.758963,285.41424560546875,27.286095,0.08147288
7,mys_1,-3.3683758,17.75896,284.6551818847656,27.252878,0.08078248
8,mys_1,-3.3682857,17.758871,283.895263671875,27.24443,0.079976134
9,mys_1,-3.3681953,17.758871,281.24078369140625,27.237167,0.07963081
10,mys_1,-3.3681052,17.758781,280.11370849609375,27.230875,0.079745375
11,mys_1,-3.368015,17.758692,278.98577880859375,27.222572,0.080551624
12,mys_1,-3.367925,17.7586,278.98577880859375,27.20557,0.08020612
13,mys_1,-3.3678348,17.75851,275.6338195800781,27.172867,0.07997575
14,mys_1,-3.3677447,17.75842,275.6314697265625,27.174128,0.079744995
15,mys_1,-3.3676543,17.75842,274.1517639160156,27.173615,0.07911159
16,mys_1,-3.3675642,17.75833,272.3148193359375,27.167772,0.078707956
17,mys_1,-3.3674738,17.75833,270.84649658203125,27.163157,0.07859245
18,mys_1,-3.3673837,17.75824,269.7554016113281,27.167772,0.07790124
19,mys_1,-3.3672936,17.75815,268.6632080078125,27.167437,0.07744018
20,mys_1,-3.3672035,17.758059,269.02423095703125,27.165632,0.077324905
21,mys_1,-3.3671134,17.757969,269.027099609375,27.165632,0.07720938
22,mys_1,-3.3670232,17.75788,270.48236083984375,27.165783,0.077324905
23,mys_1,-3.3669329,17.75788,270.477783203125,27.167446,0.077093706
24,mys_1,-3.3668427,17.757788,270.1134338378906,27.168943,0.07703607
25,mys_1,-3.3667524,17.757788,269.74676513671875,27.172436,0.07668967
26,mys_1,-3.3666625,17.757698,269.02093505859375,27.170647,0.07668967
27,mys_1,-3.3665724,17.757608,267.5731201171875,27.177944,0.07657491
28,mys_1,-3.3664823,17.757517,267.5713806152344,27.168947,0.0766902
29,mys_1,-3.366392,17.757517,266.8485107421875,27.167307,0.076517396
30,mys_1,-3.3663018,17.757427,266.8462219238281,27.167307,0.07674798
31,mys_1,-3.3662114,17.757427,265.7662048339844,27.167294,0.07634367
32,mys_1,-3.3661213,17.757338,266.844482421875,27.167294,0.07640132
33,mys_1,-3.3660312,17.757246,267.56964111328125,27.166723,0.076632045
34,mys_1,-3.365941,17.757156,266.1222229003906,27.167294,0.07697808
35,mys_1,-3.3658507,17.757156,266.1222229003906,27.169962,0.076862395
36,mys_1,-3.3657606,17.757067,266.8427429199219,27.177526,0.07720736
37,mys_1,-3.3656702,17.757065,266.1222229003906,27.177467,0.0768611
38,mys_1,-3.36558,17.756975,266.48077392578125,27.172808,0.07686125
39,mys_1,-3.36549,17.756886,266.48077392578125,27.17094,0.07686125
40,mys_1,-3.3653998,17.756796,265.398681640625,27.177467,0.076919034
41,mys_1,-3.3653097,17.756704,264.68243408203125,27.177467,0.076919034
42,mys_1,-3.3652196,17.756615,263.25238037109375,27.17094,0.07651566
43,mys_1,-3.3651295,17.756525,262.8955993652344,27.16695,0.07628451
44,mys_1,-3.3650393,17.756435,261.4736328125,27.171553,0.076400064
45,mys_1,-3.3649492,17.756344,262.5409240722656,27.179996,0.07634245
46,mys_1,-3.3649495,17.756254,261.4747314453125,27.175676,0.07645801
